timestamp_ms,date,avail_usd,cost_per_mib_usd
1764046917845,2025-11-25T05:01:57.845Z,0.008110,0.04645723
1764050518229,2025-11-25T06:01:58.229Z,0.008192,0.04692404
1764054181954,2025-11-25T07:03:01.954Z,0.008160,0.04674494
1764057727371,2025-11-25T08:02:07.371Z,0.008125,0.04654484
1764061376864,2025-11-25T09:02:56.864Z,0.008046,0.04609120
1764064974398,2025-11-25T10:02:54.398Z,0.007956,0.04557155
1764068641608,2025-11-25T11:04:01.608Z,0.007949,0.04553217
1764072194297,2025-11-25T12:03:14.297Z,0.007930,0.04542667
1764075790389,2025-11-25T13:03:10.389Z,0.007971,0.04566078
1764079368709,2025-11-25T14:02:48.709Z,0.007958,0.04558580
1764082973977,2025-11-25T15:02:53.977Z,0.008037,0.04603692
1764086827256,2025-11-25T16:07:07.256Z,0.007923,0.04538661
1764090178005,2025-11-25T17:02:58.005Z,0.008012,0.04589521
1764094070402,2025-11-25T18:07:50.402Z,0.007964,0.04562072
1764097412140,2025-11-25T19:03:32.140Z,0.007922,0.04538204
1764101007154,2025-11-25T20:03:27.154Z,0.007912,0.04532120
1764104573406,2025-11-25T21:02:53.406Z,0.007814,0.04475846
1764108220162,2025-11-25T22:03:40.162Z,0.008074,0.04624801
1764111835218,2025-11-25T23:03:55.218Z,0.008015,0.04591371
1764115405974,2025-11-26T00:03:25.974Z,0.007987,0.04574957
1764118970233,2025-11-26T01:02:50.233Z,0.008116,0.04648967
1764122641035,2025-11-26T02:04:01.035Z,0.008118,0.04650011
1764126123907,2025-11-26T03:02:03.907Z,0.008113,0.04647412
1764129830091,2025-11-26T04:03:50.091Z,0.008148,0.04667640
1764133357097,2025-11-26T05:02:37.097Z,0.008180,0.04685624
1764136960719,2025-11-26T06:02:40.719Z,0.008198,0.04695960
1764140527336,2025-11-26T07:02:07.336Z,0.008197,0.04695507
1764144167351,2025-11-26T08:02:47.351Z,0.008203,0.04698888
1764147818545,2025-11-26T09:03:38.545Z,0.008062,0.04617880
1764151410232,2025-11-26T10:03:30.232Z,0.007989,0.04576372
1764154976889,2025-11-26T11:02:56.889Z,0.008008,0.04586995
1764158574305,2025-11-26T12:02:54.305Z,0.007938,0.04547141
1764162176997,2025-11-26T13:02:56.997Z,0.007943,0.04549905
1764165747235,2025-11-26T14:02:27.235Z,0.007960,0.04559524
1764169264272,2025-11-26T15:01:04.272Z,0.007931,0.04543099
1764172854451,2025-11-26T16:00:54.451Z,0.007822,0.04480766
1764176456224,2025-11-26T17:00:56.224Z,0.008199,0.04696637
1764180055698,2025-11-26T18:00:55.698Z,0.007860,0.04502183
1764183627943,2025-11-26T19:00:27.943Z,0.007859,0.04501882
1764187258253,2025-11-26T20:00:58.253Z,0.007873,0.04509882
1764190855707,2025-11-26T21:00:55.707Z,0.007934,0.04544816
1764194456222,2025-11-26T22:00:56.222Z,0.007982,0.04572162
1764198069665,2025-11-26T23:01:09.665Z,0.008079,0.04627967
1764201788380,2025-11-27T00:03:08.380Z,0.008124,0.04653739
1764205357410,2025-11-27T01:02:37.410Z,0.008069,0.04622048
1764208982547,2025-11-27T02:03:02.547Z,0.008065,0.04619943
1764212577730,2025-11-27T03:02:57.730Z,0.008186,0.04689055
1764216189893,2025-11-27T04:03:09.893Z,0.008106,0.04643382
1764219751016,2025-11-27T05:02:31.016Z,0.007907,0.04529245
1764223338764,2025-11-27T06:02:18.764Z,0.007559,0.04330026
1764226974070,2025-11-27T07:02:54.070Z,0.007292,0.04176877
1764230614484,2025-11-27T08:03:34.484Z,0.007322,0.04194092
1764234205090,2025-11-27T09:03:25.090Z,0.007413,0.04246357
1764237737388,2025-11-27T10:02:17.388Z,0.007464,0.04275746
1764241384302,2025-11-27T11:03:04.302Z,0.007434,0.04258132
1764245040579,2025-11-27T12:04:00.579Z,0.007432,0.04257178
1764248538439,2025-11-27T13:02:18.439Z,0.007449,0.04266749
1764252102175,2025-11-27T14:01:42.175Z,0.007492,0.04291503
1764255691448,2025-11-27T15:01:31.448Z,0.007558,0.04329699
1764259276574,2025-11-27T16:01:16.574Z,0.007500,0.04296158
1764262901103,2025-11-27T17:01:41.103Z,0.007419,0.04249580
1764266493279,2025-11-27T18:01:33.279Z,0.007395,0.04235842
1764270125833,2025-11-27T19:02:05.833Z,0.007456,0.04270757
1764273726188,2025-11-27T20:02:06.188Z,0.007471,0.04279674
1764277466024,2025-11-27T21:04:26.024Z,0.007505,0.04299337
1764280887618,2025-11-27T22:01:27.618Z,0.007440,0.04261885
1764284753886,2025-11-27T23:05:53.886Z,0.007479,0.04284073
1764288134429,2025-11-28T00:02:14.429Z,0.007458,0.04272283
1764291689052,2025-11-28T01:01:29.052Z,0.007493,0.04292106
