_day,sample_count,avg_included,avg_backed,avg_cores_active,avg_distinct_paras,avg_bitfields,total_timed_out,total_disputes,median_block,mean_availability,p10_included,p50_included,p90_included,era,effective_cores,max_pov_bytes,max_pov_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,daily_data_mib,pipeline_efficiency_pct,timed_out_rate_pct,core_engagement_pct,para_diversity_ratio,purchase_count,bulk_p10_price_dot,bulk_p50_price_dot,bulk_p90_price_dot,daily_bulk_spend_dot,bulk_p10_cost_per_mib_dot,bulk_p50_cost_per_mib_dot,bulk_p90_cost_per_mib_dot,renewal_count,renewal_p50_price_dot,daily_renewal_spend_dot,renewal_p50_cost_per_mib_dot,sales_started,sale_cores_offered,sale_start_price_dot,sale_end_price_dot,avg_dot_usd,bulk_p50_price_per_core_dot,renewal_p50_price_per_core_dot,bulk_p10_cost_per_mib_usd,bulk_p50_cost_per_mib_usd,bulk_p90_cost_per_mib_usd,renewal_p50_cost_per_mib_usd,bulk_p50_price_per_core_usd,renewal_p50_price_per_core_usd,daily_bulk_spend_usd,daily_renewal_spend_usd,daily_total_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,bulk_p50_cost_per_mib_usd_7d,pipeline_efficiency_pct_7d,core_engagement_pct_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_total_spend_usd
2025-11-25,14237,25.873990306946688,25.8744117440472,25.873990306946688,25.873990306946688,592.3325138723045,0.0,0.0,28793876.0,0.999037908404488,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.123317178244484,166.66666666666666,25.873990306946688,3725854.604200323,99.99837122055301,0.0,25.873990306946688,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.36996565024811,26.021979390148875,3747165.0321814376,,99.99793727228361,26.021979390148875,43.53519717967208,26.12111830780325,41375851.39956035,1254.203561352145
2025-11-26,12829,25.820017148647594,25.819315613064152,25.820017148647594,25.820017148647594,592.6364486709798,0.0,0.0,28807409.0,0.9992266462841015,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,43.03336191441266,166.66666666666666,25.820017148647594,3718082.4694052534,100.00271709596782,0.0,25.820017148647594,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.19529672095642,25.917178032573847,3732073.6366906343,,99.99949751711851,25.917178032573847,43.4933775742338,26.09602654454028,45093933.8689656,1254.203561352145
2025-11-27,14186,25.716481037642748,25.71774989426195,25.716481037642748,25.716481037642748,587.2200056393627,0.0,0.0,28822535.5,0.9990962075565323,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.86080172940458,166.66666666666666,25.716481037642748,3703173.2694205553,99.99506622226122,0.0,25.716481037642748,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.10251485742247,25.861508914453477,3724057.283681301,,99.9988311143259,25.861508914453477,43.44471789386232,26.066830736317392,48797107.13838616,1254.203561352145
2025-11-28,14159,25.75803375944629,25.757751253619606,25.75803375944629,25.75803375944629,591.5821032558797,0.0,0.0,28836708.0,0.9989979496275274,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.930056265743815,166.66666666666666,25.758033759446285,3709156.8613602654,100.00109677985434,0.0,25.758033759446285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.05659453134568,25.833956718807404,3720089.767508266,,99.99875578012599,25.833956718807404,43.40795634899671,26.044773809398027,52506263.99974643,1254.203561352145
2025-11-29,14244,25.742909295141814,25.742698680146027,25.742909295141814,25.742909295141814,592.3769306374614,0.0,0.0,28850909.5,0.999382928032706,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.904848825236364,166.66666666666666,25.742909295141814,3706978.9385004216,100.00081815429844,0.0,25.742909295141814,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.03693476892861,25.822160861357162,3718391.1640354316,,99.99867872751497,25.822160861357162,43.37441584741269,26.024649508447613,56213242.938246846,1254.203561352145
2025-11-30,14241,25.695246120356718,25.695456779720526,25.695246120356718,25.695246120356718,592.6670879853942,0.0,0.0,28865152.0,0.9993550081060125,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.825410200594526,166.66666666666666,25.695246120356718,3700115.441331367,99.99918016883056,0.0,25.695246120356718,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.98635852087852,25.791815112527107,3714021.3762039035,,99.99867784887428,25.791815112527107,43.34010299448655,26.004061796691932,59913358.37957821,1254.203561352145
2025-12-01,14246,25.712761476905797,25.71402498947073,25.712761476905797,25.712761476905797,592.7278534325425,0.0,0.0,28879395.5,0.9993697949693513,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.854602461509664,166.66666666666666,25.712761476905797,3702637.6526744347,99.99508629020369,0.0,25.712761476905797,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.93319979644944,25.759919877869663,3709428.4624132314,,99.99890513313845,25.759919877869663,43.31154413960556,25.986926483763334,63615996.03225265,1254.203561352145
2025-12-02,14251,25.574135148410637,25.574836853554135,25.574135148410637,25.574135148410637,591.9197951020981,0.0,1.0,28893644.0,0.9977672179813402,19.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.623558580684396,166.66666666666666,25.574135148410637,3682675.4613711317,99.99725626737126,0.0,25.574135148410637,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.86180571108372,25.717083426650227,3703260.013437633,,99.99874585411247,25.717083426650227,43.273322719665494,25.963993631799298,67298671.49362378,1254.203561352145
2025-12-03,14227,25.59091867575736,25.590848386870036,25.59091867575736,25.59091867575736,591.762634427497,0.0,0.0,28907883.0,0.9967262651284592,20.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.65153112626227,166.66666666666666,25.59091867575736,3685092.28930906,100.0002746641544,0.0,25.59091867575736,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.80725845563366,25.684355073380193,3698547.1305667483,,99.99839693528199,25.684355073380193,43.24059684632848,25.94435810779709,70983763.78293283,1254.203561352145
2025-12-04,14269,25.60578877286425,25.60592893685612,25.60578877286425,25.60578877286425,592.2767538019483,0.0,0.0,28922131.0,0.9974396768275474,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,42.67631462144042,166.66666666666666,25.60578877286425,3687233.5832924526,99.99945261118151,0.0,25.60578877286425,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.780903154495924,25.668541892697554,3696270.0325484476,,99.9990235622706,25.668541892697554,43.21238273508408,25.927429641050445,74670997.36622529,1254.203561352145
2025-12-05,14252,25.690569744597248,25.690289082234074,25.690569744597248,25.690569744597248,592.7829076620825,0.0,0.0,28936391.5,0.9975429106322854,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,42.81761624099541,166.66666666666666,25.690569744597248,3699442.0432220036,100.00109248425456,0.0,25.690569744597248,1.0,1.0,27.72410716,27.72410716,27.72410716,27.72410716,6.8760186408730154e-06,6.8760186408730154e-06,6.8760186408730154e-06,,,,,,,,,2.274281765088402,27.72410716,,1.5638003811345437e-05,1.5638003811345437e-05,1.5638003811345437e-05,,63.05243136734481,,63.05243136734481,0.0,63.05243136734481,42.76484029381758,25.658904176290545,3694882.2013858384,1.5638003811345437e-05,99.9990229486135,25.658904176290545,43.19358433060366,25.9161505983622,78370439.4094473,1317.2559927194898
