timestamp_ms,date,near_usd
1763366459629,2025-11-17T08:00:59.629Z,2.313612
1763370025102,2025-11-17T09:00:25.102Z,2.296009
1763373776513,2025-11-17T10:02:56.513Z,2.302150
1763377313482,2025-11-17T11:01:53.482Z,2.318298
1763380907197,2025-11-17T12:01:47.197Z,2.311491
1763384486171,2025-11-17T13:01:26.171Z,2.295608
1763388174705,2025-11-17T14:02:54.705Z,2.227496
1763391726389,2025-11-17T15:02:06.389Z,2.300458
1763395365131,2025-11-17T16:02:45.131Z,2.274085
1763398959358,2025-11-17T17:02:39.358Z,2.289812
1763402478346,2025-11-17T18:01:18.346Z,2.255216
1763406012947,2025-11-17T19:00:12.947Z,2.245358
1763409715184,2025-11-17T20:01:55.184Z,2.189520
1763413353474,2025-11-17T21:02:33.474Z,2.205121
1763416886400,2025-11-17T22:01:26.400Z,2.193638
1763420500962,2025-11-17T23:01:40.962Z,2.220241
1763424073056,2025-11-18T00:01:13.056Z,2.258964
1763427664650,2025-11-18T01:01:04.650Z,2.270161
1763431355920,2025-11-18T02:02:35.920Z,2.264615
1763434947691,2025-11-18T03:02:27.691Z,2.284359
1763438471653,2025-11-18T04:01:11.653Z,2.310951
1763442134273,2025-11-18T05:02:14.273Z,2.272280
1763445872552,2025-11-18T06:04:32.552Z,2.264768
1763449358713,2025-11-18T07:02:38.713Z,2.245055
1763452871769,2025-11-18T08:01:11.769Z,2.252848
1763456490101,2025-11-18T09:01:30.101Z,2.255065
1763460097794,2025-11-18T10:01:37.794Z,2.243652
1763463707775,2025-11-18T11:01:47.775Z,2.264192
1763467354832,2025-11-18T12:02:34.832Z,2.223883
1763470927397,2025-11-18T13:02:07.397Z,2.231920
1763474567975,2025-11-18T14:02:47.975Z,2.238718
1763478084073,2025-11-18T15:01:24.073Z,2.219981
1763481733137,2025-11-18T16:02:13.137Z,2.261745
1763485249149,2025-11-18T17:00:49.149Z,2.319331
1763488908358,2025-11-18T18:01:48.358Z,2.303808
1763492419209,2025-11-18T19:00:19.209Z,2.340588
1763496111396,2025-11-18T20:01:51.396Z,2.322096
1763499738943,2025-11-18T21:02:18.943Z,2.299742
1763503266233,2025-11-18T22:01:06.233Z,2.273884
1763506914314,2025-11-18T23:01:54.314Z,2.294757
1763510562570,2025-11-19T00:02:42.570Z,2.275168
1763514158719,2025-11-19T01:02:38.719Z,2.283518
1763517727031,2025-11-19T02:02:07.031Z,2.283344
1763521266971,2025-11-19T03:01:06.971Z,2.291676
1763524856665,2025-11-19T04:00:56.665Z,2.258228
1763528459096,2025-11-19T05:00:59.096Z,2.260741
