_day,block_count,blocks_with_data,total_data_bytes,total_submit_count,total_fee_plancks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,p10_fee_per_byte_plancks,p50_fee_per_byte_plancks,p90_fee_per_byte_plancks,daily_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_avail,cost_per_mib_avail_p10,cost_per_mib_avail_p50,cost_per_mib_avail_p90,avg_avail_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,cost_per_mib_usd_7d,cumulative_daily_data_mib,cumulative_daily_da_spend_usd
2025-12-17,4320,563,147311565.0,825,1.680303324793574e+20,20000.0,19999.0,20000.0,20001.0,146228.0,786582.0,1048776.0,918117079540.707,1351573578616.4204,154447791057441.78,140.48725605010986,0.0016260099079873826,0.2125,0.765181133170533,1.1960539140961177,0.9627155347964764,1.4172276167712916,161.9502469558481,0.006790458333333333,0.008121754268089934,0.00653727972588819,0.009623625080534756,1.09971640402673,1.141002971437223,0.0026733038352386935,1.2580253342299732,230.8341633932931,0.007795390879336494,6731.600082397461,52.37341854605377
2025-12-18,4320,477,126935586.0,703,1.4371509936417196e+20,20000.0,19999.0,20000.0,20001.0,155694.0,786582.0,1109929.4400000023,917383394359.5344,1313445314515.063,154447102520411.38,121.05520820617676,0.0014011019468307495,0.2125,0.6593420926262351,1.187186420921285,0.9619462101239432,1.3772472341129467,161.94952497244287,0.006664125,0.007911558707322058,0.006410529787542223,0.00917814772403294,1.0792518781069809,0.9577353865502624,0.0017739927929021336,0.8348201378362982,153.13368933541435,0.007972362695894604,6852.655290603638,53.33115393260403
2025-12-19,4319,463,121588180.0,671,1.3727498870412504e+20,20004.632468735526,19999.0,20000.0,20001.0,169538.0,728505.6000000002,1048776.0,916672934010.9202,1308456291950.5554,154446415534311.9,115.95552444458008,0.0013423885673139624,0.2125,0.6317122669712765,1.1838589783597107,0.9612012384534346,1.3720158647883456,161.94880461530664,0.0067653750000000006,0.008009249935720329,0.006502886828601906,0.009282201831242454,1.0956443940242802,0.92871677670417,0.0015357438435398974,0.7227029851952457,132.65694958823067,0.00810485567372827,6968.610815048218,54.2598707093082
2025-12-20,4303,476,112327134.0,662,1.319787348978999e+20,20079.0330079033,19999.0,20000.0,20001.0,147272.5,659509.0,909313.5,915952337335.8423,1309679401444.6816,154445631509199.94,107.12350273132324,0.0012447536919744742,0.2125,0.5857664432821055,1.2320240799903277,0.9604456380742682,1.3732983880492584,161.94798250539083,0.006819708333333334,0.008402044885177372,0.006549959121688738,0.009365494461132762,1.1044380058585348,0.9000564782059988,0.0014619838683140156,0.6879924086183601,126.22865990230015,0.008233884388139124,7075.734317779541,55.1599271875142
2025-12-21,4320,462,122657677.0,687,1.3956247188516643e+20,19999.99976846492,19999.0,20000.0,20001.0,174800.0,708201.6000000002,1048776.0,915254383452.6539,1172583057909.5503,154635458336727.06,116.97547626495361,0.0013538828271406668,0.2125,0.6371213304191373,1.193091717524214,0.9597137803832501,1.2295424525305647,162.1470303608919,0.006734458333333333,0.008034826459511922,0.0064631524659168145,0.008280302415631565,1.0919724198391614,0.9398776518076579,0.001450206346985607,0.6824500456402857,125.21518584660122,0.008235458570720597,7192.709794044495,56.099804839321855
2025-12-22,4320,420,127870145.0,706,1.441311706086406e+20,20000.00023153508,19999.0,20000.0,20001.0,119976.0,910899.1000000002,1521950.53,914823611517.4049,1477459828932.6309,154634718070223.03,121.94647312164307,0.00141141751298198,0.2125,0.6641964766974023,1.1819215998552746,0.9592620832704744,1.5492289175828624,162.14625413520218,0.0067005833333333336,0.007919564173296922,0.006427615527460752,0.01038073746467377,1.0864744880207668,0.9657629195940806,0.0014283919017329518,0.6721844243449185,123.33488668714251,0.008123723548376807,7314.656267166138,57.06556775891593
2025-12-23,4319,375,131881616.0,707,1.4592613029069442e+20,20004.63177396943,19999.0,20000.0,20001.0,106968.0,1049446.2,1523259.8799999987,914254140636.3854,1619725449863.3691,154634117658231.1,125.77210998535156,0.001456032762043894,0.2125,0.685191888020656,1.1602423646044433,0.9586649497719384,1.698405233315932,162.14562455759733,0.006553166666666666,0.007603261588980351,0.006282291193347141,0.011129932561458188,1.0625673019966948,0.9562782528166357,0.0014050838880390155,0.6612159473124779,121.33079297201974,0.008000322859728412,7440.428377151489,58.02184601173257
2025-12-24,4320,377,126372627.0,695,1.4192264882761902e+20,20000.00023153508,19999.0,20000.0,20001.0,63747.0,1053692.8,1505956.1600000008,913474868009.9459,2391023609710.912,154633284946036.3,120.51832866668701,0.0013948880632718404,0.2125,0.6564179121279249,1.1776021987504417,0.957847823198397,2.5071699725762295,162.14475139557499,0.006490541666666666,0.007643276137748022,0.006216951206795162,0.01627289117242154,1.0524072649642875,0.9211548656593623,0.0013720664816510811,0.645678344306391,118.47808906010219,0.007931968841108139,7560.946705818176,58.94300087739193
2025-12-25,4320,374,122732661.0,696,1.4036162338557749e+20,19999.999536929845,19999.0,20000.0,20001.0,54083.0,1007621.1,1426048.23,912497404267.4601,2738808771889.7637,154632558666444.3,117.04698657989502,0.001354710492822859,0.2125,0.6375108201519337,1.199190406237141,0.9568228781771563,2.871849146793081,162.1439898362255,0.006644666666666667,0.00796822051931039,0.006357769084527811,0.019082480297391093,1.0773927644651065,0.9326562001893673,0.001365439131078525,0.6425595910957765,117.90548597063336,0.0079400633856779,7677.993692398071,59.8756570775813
2025-12-26,4320,358,132988975.0,734,1.4948613575580346e+20,20000.00023153508,19999.0,20000.0,20001.0,48937.0,1229235.2,1587672.980000001,912037126552.9087,3129479667260.3994,154631820402004.78,126.82816982269287,0.0014679186322070934,0.2125,0.690785238685691,1.1786508940780795,0.9563402420123428,3.2814972715772406,162.14321570985257,0.006736166666666667,0.007939588864325624,0.006442067260235477,0.022104712537556224,1.092223724890852,1.0069635248070514,0.0013833719974918298,0.6509985870549786,119.45872102464948,0.007930111804050085,7804.821862220764,60.88262060238835
