_hour,block_count,blocks_with_data,total_data_bytes,total_submit_count,total_fee_plancks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,p10_fee_per_byte_plancks,p50_fee_per_byte_plancks,p90_fee_per_byte_plancks,hourly_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_avail,cost_per_mib_avail_p10,cost_per_mib_avail_p50,cost_per_mib_avail_p90,avg_avail_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_data_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_data_mib,cumulative_hourly_da_spend_usd
2026-01-02 17:00:00+00:00,180,9,3547960.0,17,3.6485556884594893e+18,20000.0,19999.0,20000.0,20001.0,324985.0,753285.4,768961.24,896206517934.4108,961439777244.1871,9524238572052.012,3.3835983276367188,0.000939888424343533,0.2125,0.44230043498519206,1.078306387214652,0.9397406457495927,1.0081426758636007,9.98688798492801,0.006567,0.00708123804483862,0.006171276820637575,0.006620472952396266,0.06558389339702224,0.023960065206113466,0.0014123474227057562,0.664634081273297,5.084450721740723,0.006896305812785462,8631.259376525879,66.81700661147741
2026-01-02 18:00:00+00:00,180,9,4412614.0,22,4.64425521924081e+18,20000.0,19999.0,20000.0,20001.0,325258.0,1035490.8,1107367.68,900711862284.196,1024899393364.5436,8052950799405.93,4.208196640014648,0.00116894351111518,0.2125,0.5500910640542024,1.103621245994019,0.9444648417065131,1.0746849062966197,8.444130937437873,0.00657,0.007250791586180704,0.006205134010011792,0.007060679834368792,0.055477940258966824,0.030512756790412127,0.0014075016865023858,0.6623537348246522,5.067006071408589,0.006908116578023121,8635.467573165894,66.84751936826783
2026-01-02 19:00:00+00:00,180,10,5793677.0,27,5.863012788134789e+18,20000.0,19999.0,20000.0,20001.0,325349.0,1251031.7,1314970.67,814774442134.3645,986843837333.5122,9475251282463.754,5.525280952453613,0.0015348002645704482,0.2125,0.722258948033152,1.0611248257939172,0.8543529254354834,1.0347807635758248,9.935521088760714,0.006721,0.007131819954160918,0.005742106011851884,0.006954761511993119,0.06677663723756076,0.03940530894905392,0.001410460416917448,0.6637460785493872,5.077657500902812,0.0069172937544510265,8640.992854118347,66.88692467721688
2026-01-02 20:00:00+00:00,180,11,5510930.0,26,5.616248996158484e+18,20000.0,19999.0,20000.0,20001.0,325258.0,1173476.0,1182583.1,814603415391.9698,1046558949663.3715,8158729943821.822,5.255632400512695,0.0014598978890313042,0.2125,0.687010771308849,1.0686152622871057,0.8541735908980502,1.0973965972022195,8.555048409572912,0.006672,0.007129801029979569,0.005699046198471791,0.007321830096533208,0.05707928298867047,0.03747161330236941,0.0013756665035530374,0.6473724722602529,4.9523994127909345,0.0069735856587542595,8646.24848651886,66.92439629051925
2026-01-02 21:00:00+00:00,180,12,5126063.0,27,5.57427168041815e+18,20000.005555555555,19999.0,20000.0,20001.0,262194.0,1047298.9,1285550.31,906599983288.484,1031149426599.3485,10201595046221.312,4.888594627380371,0.001357942952050103,0.2125,0.6390319774353426,1.140260566748037,0.9506389840767054,1.0812385411458385,10.69714772718656,0.006664,0.007598696416808918,0.006335058189887165,0.007205373638195868,0.07128579245397122,0.037146946478306554,0.0013758211776062294,0.6474452600499904,4.952956239382426,0.007001893541634669,8651.13708114624,66.96154323699756
2026-01-02 22:00:00+00:00,180,11,6257409.0,28,6.187270988940065e+18,19999.994444444445,19999.0,20000.0,20001.0,324894.0,1309504.0,1406146.0,814958302170.9844,958926551514.5461,9206446462415.775,5.967530250549316,0.0016576472918192545,0.2125,0.7800693137972963,1.0368227271860952,0.8545457166572421,1.0055073676809168,9.653658805774084,0.006659,0.006904202540332209,0.005690419927220575,0.006695673561387225,0.06428371398764962,0.04120103751535189,0.0013913185287404942,0.6547381311719974,5.008746703465779,0.006992583792424384,8657.10461139679,67.0027442745129
2026-01-02 23:00:00+00:00,180,12,5334871.0,26,5.539719862930029e+18,20000.0,19999.0,20000.0,20001.0,215968.0,1284750.6,1384854.24,906547993383.9789,1066267258031.5198,12589774757525.926,5.087729454040527,0.0014132581816779244,0.2125,0.6650626737307879,1.0888393168254147,0.9505844687105991,1.118062256357659,13.201335656147505,0.006654,0.007245136814156309,0.006325189054800327,0.007439586253803863,0.0878416874560055,0.036861295967936414,0.0013915043517395305,0.6548255772891907,5.009415666262309,0.0070064925044720965,8662.19234085083,67.03960557048084
2026-01-03 00:00:00+00:00,180,8,4210403.0,20,4.307270380803926e+18,20000.0,19999.0,20000.0,20001.0,543589.5,1036057.3999999999,1182190.94,889632682920.5049,963415635554.4989,10493104500056.186,4.015353202819824,0.0011153758896721734,0.2125,0.5248827716104345,1.072700249078736,0.9328474801260513,1.0102145134671943,11.002817544250915,0.006653,0.007136674757120831,0.00620623428527862,0.006720957158097243,0.07320174512190133,0.02865626984348852,0.001388488941722446,0.6534065608105629,4.998560190200806,0.007008324536420409,8666.20769405365,67.06826184032434
2026-01-03 01:00:00+00:00,180,15,5199313.0,25,5.356417985527919e+18,20000.0,19999.0,20000.0,20001.0,262194.0,786582.0,786582.0,851641321175.7012,1040502484448.0187,7895041240221.177,4.958451271057129,0.0013773475752936468,0.2125,0.6481635648440691,1.0802602854632761,0.8930106499931321,1.0910459331325657,8.27855076350616,0.006636,0.007168607254334301,0.005926018673354425,0.007240180812267707,0.05493646286662689,0.03554518975196327,0.0013940865132543775,0.656040712119707,5.018711447715759,0.0070108528913799956,8671.166145324707,67.1038070300763
2026-01-03 02:00:00+00:00,180,12,5985017.0,27,5.944460789906335e+18,20000.0,19999.0,20000.0,20001.0,240741.0,1301582.1,1310970.0,906451581841.2354,971175621275.6232,9900591597735.781,5.707756996154785,0.0015854880544874403,0.2125,0.7461120256411484,1.041470545068932,0.9504833738807552,1.0183514482547078,10.381522735187394,0.006623,0.006897659419991538,0.006295051385212242,0.00674454164179093,0.06875682507514612,0.039370163811549654,0.0013979077891067221,0.657838959579634,5.0324680407842,0.0070137893713416825,8676.873902320862,67.14317719388785
