ct_block,timestamp,who,old_core,core,begin,price,duration,workload
1892596,1748622324,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,47,46,332925,17007247809,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
1892782,1748624592,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,24,47,332925,92272712073,5040,[{"assignment":{"Task":3338},"mask":"0xffffffffffffffffffff"}]
1892791,1748624700,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,49,48,332925,17007247809,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1894155,1748641326,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,50,49,332925,16658796652,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
1894205,1748641926,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,51,50,332925,16657232599,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
1894215,1748642046,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,52,51,332925,16655981337,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
1894223,1748642142,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,53,52,332925,16654104492,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
1894231,1748642238,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,54,53,332925,16652853228,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,55,54,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,56,55,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,57,56,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,58,57,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,59,58,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,60,59,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,61,60,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,62,61,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1894321,1748643336,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,63,62,332925,95040893435,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
1895120,1748653062,0x7232c82a96e3f7acf5fd434ffe60468d46fbf42dd4c70a6acd02566048cb4545,64,63,332925,922710642823,5040,[{"assignment":{"Task":3415},"mask":"0xffffffffffffffffffff"}]
1912881,1748876694,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,48,64,332925,7530007562,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
2087533,1751040072,0x7369626c290d0000000000000000000000000000000000000000000000000000,42,42,337965,922710642823,5040,[{"assignment":{"Task":3369},"mask":"0xffffffffffffffffffff"}]
2087533,1751040072,0x7369626cd0070000000000000000000000000000000000000000000000000000,44,43,337965,10819039217,5040,[{"assignment":{"Task":2000},"mask":"0xffffffffffffffffffff"}]
2087625,1751041260,0x40c4301003d5d109819d51372edf6d0477ce8e3c13f98f951b7926003e5e632f,45,44,337965,95040893435,5040,[{"assignment":{"Task":2004},"mask":"0xffffffffffffffffffff"}]
2088573,1751053302,0xd869cbcab73137f8ba09a3c9a6891d05db2d5f033cead30587bc4bbe033b002b,63,45,337965,950391962108,5040,[{"assignment":{"Task":3415},"mask":"0xffffffffffffffffffff"}]
2092077,1751097360,0x0ceb137a94d9b032da6c8257508a07e185411406a58ac8e08505ba9058293d54,43,46,337965,922710642823,5040,[{"assignment":{"Task":3413},"mask":"0xffffffffffffffffffff"}]
2093222,1751111556,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,49,47,337965,17158560552,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
2093222,1751111556,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,50,48,337965,17156949577,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
2093222,1751111556,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,51,49,337965,17155660777,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
2093222,1751111556,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,52,50,337965,17153727627,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
2093222,1751111556,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,53,51,337965,17152438825,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
2106051,1751271216,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,48,52,337965,17517465243,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
2108352,1751299542,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,46,53,337965,17517465243,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,54,54,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,55,55,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,56,56,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,57,57,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,58,58,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,59,59,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,60,60,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,61,61,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
