_day,block_count,blocks_with_data,total_encoded_bytes,total_gas_used,total_gas_limit,total_chunks_produced,total_da_cost_near,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_encoded_bytes,p90_encoded_bytes,p99_encoded_bytes,p10_cost_per_byte_near,p50_cost_per_byte_near,p90_cost_per_byte_near,daily_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_near,cost_per_mib_near_p10,cost_per_mib_near_p50,cost_per_mib_near_p90,avg_near_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,cost_per_mib_usd_7d,cumulative_daily_data_mib,cumulative_daily_da_spend_usd
2025-12-24,126219,126219,10017682335.0,2.895678168312924e+19,1.135971e+21,1100826,2895.6781683129234,684.5367105857373,406.0,606.0,1157.0,39294.0,205661.0,415061.23999999976,1.328883281359733e-07,2.927743974197336e-07,5.473818087364007e-07,9553.606352806091,0.12490216991759193,59.01639344262295,0.21025198602794637,0.30309791521422724,0.13934351156350633,0.30699620654879456,0.5739714274775801,1.4584567083333333,0.4420551877260376,0.2032264792025192,0.447740676873975,0.837112478796336,4223.221249750362,0.11396505067364962,0.19175366069833788,9311.264849254063,0.4647072814571616,429068.57484436035,278619.038732632
2025-12-25,126982,126982,9823828827.0,2.9001739709451567e+19,1.142838e+21,1108115,2900.1739709451563,680.4118615236805,417.0,607.0,1080.0,39490.0,198940.80000000002,410022.8400000001,1.4155873141671669e-07,2.988935350274095e-07,5.510403847705401e-07,9368.733241081238,0.121548616291077,59.01639344262295,0.20494447246856592,0.309558816151163,0.14843508835401512,0.31341258738490096,0.5778077225011539,1.486323125,0.460104426993097,0.22062250438199085,0.46583237629626156,0.8588089797570478,4310.595639538864,0.11543344326306283,0.1943178431779994,9287.037353651864,0.4639339561163402,438437.3080854416,282929.6343721709
2025-12-26,129067,129067,9193896565.0,2.744881043936671e+19,1.161603e+21,1130868,2744.8810439366707,669.4170004726227,417.0,605.0,1034.0,35165.0,184429.40000000002,390068.11999999994,1.4966981019991332e-07,3.0400333380428647e-07,5.502042311553796e-07,8767.983021736145,0.11228690463267166,59.01639344262295,0.1887043813965732,0.31305729460606985,0.1569401709001843,0.3187705997471635,0.5769309518879833,1.5141169583333334,0.47400535869300475,0.23762577420370057,0.4826559708952676,0.8735409380409879,4156.070937232216,0.1158672682612913,0.19504691018891113,9198.124717167446,0.4650506227984012,447205.29110717773,287085.7053094031
2025-12-27,141102,141102,9352771579.0,2.789193061225741e+19,1.269918e+21,1265085,2789.193061225741,612.3259273433403,485.0,605.0,710.0,32022.5,171455.7,381670.9099999999,1.5153546285318103e-07,3.048623945415721e-07,5.403138361419146e-07,8919.498042106628,0.10448450036444686,59.01639344262295,0.17559200755691762,0.312707402149615,0.15889644949673715,0.3196713902188235,0.5665601210463442,1.5343877083333333,0.4798143941632178,0.24380875900560173,0.4904998518575913,0.869322885765356,4279.703549313399,0.11561122282316307,0.19457443826474274,9168.549168314252,0.46643005989538316,456124.78914928436,291365.40885871655
2025-12-28,142247,142247,9205498746.0,2.7577228852440715e+19,1.280223e+21,1277586,2757.722885244071,607.3920996576378,486.0,604.0,709.0,30764.0,168739.40000000002,392335.20000000024,1.5242800558488772e-07,3.0753041113621005e-07,5.597670373992437e-07,8779.047723770142,0.10218034281766929,59.01639344262295,0.17143590850520068,0.3141255147499954,0.15983234838417923,0.3224690083875626,0.5869582810079493,1.5861300833333332,0.4982439288875364,0.25351489606196054,0.511477795146182,0.9309921871683287,4374.1072297824185,0.11415103914605636,0.192035366898107,9135.4445306233,0.4706531365905483,464903.8368730545,295739.516088499
2025-12-29,142581,142581,9372563982.0,2.798418973023127e+19,1.283229e+21,1280701,2798.418973023128,605.9717564051311,489.0,604.0,701.0,31099.0,172285.0,362336.00000000064,1.5486281944646877e-07,3.058162189914883e-07,5.379603419641896e-07,8938.37354850769,0.10379105001947876,59.01639344262295,0.17413831725490325,0.3130792148970255,0.16238543576390044,0.3206715476452188,0.564092303535442,1.5518644583333334,0.48585650624159776,0.25200018631296767,0.4976387775893592,0.8753947970760311,4342.76694376026,0.11264390086664451,0.18941597694520862,9086.616899217877,0.47180496923406506,473842.2104215622,300082.28303225926
2025-12-30,135115,135115,9543915701.0,2.807777793098235e+19,1.216035e+21,1199354,2807.7777930982347,639.4578618214114,459.0,605.0,755.0,33254.0,187481.20000000004,400891.45999999915,1.441114171322771e-07,3.013395224071529e-07,5.605631350002494e-07,9101.787281990051,0.11134423638498397,59.01639344262295,0.18712017503587586,0.3084864220738337,0.1511117733308946,0.31597739104760275,0.5877930498460215,1.5299227499999999,0.47196039519686034,0.2311893398117789,0.48342099904937375,0.8992779592513123,4295.683122605782,0.11150540291827422,0.18745532117799754,9061.289887428284,0.4731485997001931,482943.99770355225,304377.96615486505
2025-12-31,140833,140833,9505601164.0,2.83156472600489e+19,1.267497e+21,1262423,2831.5647260048895,613.4915254237288,484.0,605.0,713.0,33863.0,172204.2,390448.75999999995,1.4753291917168397e-07,3.042864805606824e-07,5.592896166802739e-07,9065.247692108154,0.10639466945121809,59.01639344262295,0.1788021528277415,0.31235381780797206,0.1546994782533677,0.3190675006403981,0.5864576691001349,1.50866275,0.4712365697471741,0.2333893402852909,0.4813652529517698,0.8847668398231995,4271.876226337533,0.10886147428022082,0.18296248786368258,8991.524364471436,0.4773173685603554,492009.2453956604,308649.84238120256
2026-01-01,140585,140585,9147854145.0,2.729402685154815e+19,1.265265e+21,1261348,2729.402685154815,614.5762848099015,480.0,606.0,722.0,31320.0,170614.00000000003,385389.80000000005,1.4548517589708998e-07,3.019835802747884e-07,5.63126303976738e-07,8724.073548316956,0.10240182786798065,59.01639344262295,0.1723764102444341,0.31285874311334416,0.15255226380146703,0.31665273467021654,0.590480727318712,1.5451817083333335,0.48342360715089666,0.23572096759086816,0.489286013506147,0.9124000189762367,4217.423103777105,0.10612621879120702,0.17830990754594947,8899.430122647967,0.4806486800114697,500733.31894397736,312867.26548497967
2026-01-02,140759,140759,9305139035.0,2.793536548602951e+19,1.266831e+21,1262123,2793.536548602951,613.813411575814,482.0,605.0,717.0,32111.0,171370.0,377691.0000000019,1.5336895044162213e-07,3.068809189165472e-07,5.514139153907499e-07,8874.072108268738,0.10420568334715632,59.01639344262295,0.1751234400695266,0.31479759399295076,0.16081900057827436,0.3217879664338374,0.5781993977447709,1.6497304583333332,0.5193311790202212,0.2653080035327051,0.5308634093510458,0.9538731574495382,4608.582330697664,0.104971758607562,0.1763697730706571,8914.585706438336,0.4871237972010721,509607.3910522461,317475.84781567735
