_hour,block_count,blocks_with_data,total_encoded_bytes,total_gas_used,total_gas_limit,total_chunks_produced,total_da_cost_near,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_encoded_bytes,p90_encoded_bytes,p99_encoded_bytes,p10_cost_per_byte_near,p50_cost_per_byte_near,p90_cost_per_byte_near,hourly_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_near,cost_per_mib_near_p10,cost_per_mib_near_p50,cost_per_mib_near_p90,avg_near_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,hourly_da_spend_usd,actual_mib_per_s_24h,utilization_pct_24h,hourly_data_mib_24h,cost_per_mib_usd_24h,cumulative_hourly_data_mib,cumulative_hourly_da_spend_usd
2026-02-05 14:00:00+00:00,5793,5793,441609904.0,1.3490950524034458e+18,5.2137e+19,51936,134.90950524034457,621.4438114966339,459.0,606.0,762.0,43187.0,187939.40000000002,423335.0399999999,1.4580783335071117e-07,3.1496409197363115e-07,5.996803391066225e-07,421.1520233154297,0.11996725971068693,59.01639344262295,0.20194488717965633,0.32033445827541845,0.1528905946635553,0.33026378770534226,0.6288104112590658,1.103282,0.35341924179502027,0.16868144106159666,0.36437409222712547,0.6937552081547247,148.84322876057786,0.10486978813128904,0.17586476626026726,378.085657397906,0.3610789056455566,807298.0587892532,462977.4396206704
2026-02-05 15:00:00+00:00,5956,5956,465141037.0,1.4873037251241882e+18,5.3604e+19,53550,148.73037251241882,604.4200805910007,490.0,605.0,706.0,45114.0,180266.5,421887.5499999997,1.629280735936312e-07,3.3497683790580805e-07,6.302543452946129e-07,443.59306049346924,0.12310471293437529,59.01639344262295,0.20688430923693624,0.3352856159358437,0.17084246769651543,0.3512486727839206,0.660869580371644,1.119426,0.3753274359045978,0.19124550024363948,0.39319689677981307,0.739794590877108,166.49264598008696,0.10500003156166289,0.17611142046747083,378.6808418035507,0.36190721447999,807741.6518497467,463143.9322666505
2026-02-05 16:00:00+00:00,5981,5981,435084122.0,1.337441238393e+18,5.3829e+19,53795,133.74412383930002,601.8918241096807,489.0,604.0,705.0,41511.0,170021.0,426362.3999999998,1.6356155196323068e-07,3.282371774621977e-07,5.872730027476203e-07,414.9285526275635,0.1148583518414171,59.01639344262295,0.1927067903117109,0.32233049037564704,0.17150671791139657,0.34418162659460144,0.6158003761290887,1.064385,0.34308373899848305,0.18254917794412182,0.3663417606228948,0.65544868334616,142.35523925269334,0.10493390920275662,0.17600048184308367,378.56212532520294,0.3615689688766584,808156.5804023743,463286.28750590316
2026-02-05 17:00:00+00:00,5921,5921,444388206.0,1.36538099118342e+18,5.3289e+19,53069,136.538099118342,608.0361425434893,484.0,604.0,707.0,44363.0,174650.0,407327.00000000023,1.560763459266149e-07,3.1193821949819685e-07,5.927273296069406e-07,423.8016185760498,0.11850334553297495,59.01639344262295,0.19882227972754687,0.32217455793845834,0.16365791050634615,0.32709093044854126,0.6215196523699273,1.069237,0.3444809578064434,0.17498909325607404,0.3497377252000069,0.664551808541064,145.99158748699864,0.10491768591895434,0.17597326277803757,378.3993815978368,0.3614304775941443,808580.3820209503,463432.27909339016
2026-02-05 18:00:00+00:00,5870,5870,475936187.0,1.439264334638778e+18,5.283e+19,52580,143.9264334638778,613.3538330494038,485.0,605.0,713.0,48023.5,187501.30000000005,410175.8700000006,1.5859533248938026e-07,3.1684433742373827e-07,5.656576980852536e-07,453.88811779022217,0.12780720508826846,59.01639344262295,0.2147871085511178,0.31709672014458345,0.1662992593603844,0.3322353679584338,0.5931350864274428,1.046472,0.3318328389231426,0.17402751854138018,0.3476750099781981,0.620699260163899,150.61498267981113,0.10534514964515072,0.17669163931789536,379.7011419534683,0.3607202684613607,809034.2701387405,463582.89407607
2026-02-05 19:00:00+00:00,5959,5959,432143393.0,1.2875989876315128e+18,5.3631e+19,53540,128.75989876315128,604.0755160261789,488.0,604.0,705.0,40179.0,176518.79999999996,394879.5000000003,1.4973741569811927e-07,3.086441644201956e-07,5.721510167125041e-07,412.12405490875244,0.11450320426578098,59.01639344262295,0.19211093160147696,0.3124299521697654,0.1570110604030711,0.323636863351071,0.5999438245003307,1.034251,0.32313099046153204,0.1623888462329367,0.33472174955770856,0.6204925004332915,133.17005405568798,0.10554146677269838,0.17703372319221658,380.39913328488666,0.35941572947561834,809446.3941936493,463716.0641301257
2026-02-05 20:00:00+00:00,5992,5992,430555539.0,1.3651142281155835e+18,5.3928e+19,53876,136.51142281155833,600.80173564753,487.1,604.0,701.0,40471.0,171540.60000000003,394660.06000000006,1.663487284753109e-07,3.3886358035314124e-07,6.242532727393167e-07,410.6097593307495,0.11345418597057377,59.01639344262295,0.19035091201729598,0.33246024895769044,0.1744292843097276,0.3553242176323754,0.6545769997159018,1.014919,0.3374202234118902,0.1770315948023444,0.3606252996352328,0.6643426339746632,138.54803672848396,0.10580849533723781,0.17749412730934455,381.38421165943146,0.35829507211345085,809857.00395298,463854.61216685415
2026-02-05 21:00:00+00:00,5995,5995,434533772.0,1.3723591057366636e+18,5.3955e+19,53918,137.23591057366636,600.501918265221,490.0,604.0,699.0,38560.0,184695.80000000002,360090.78000000084,1.7259086788756833e-07,3.372275707034858e-07,5.91492694958617e-07,414.4036979675293,0.11444517726348373,59.01639344262295,0.19201357518651158,0.3311647826666342,0.18097464188607484,0.3536087371779783,0.6202250441089268,0.977349,0.32366356917445227,0.17687538527271338,0.34559914567215994,0.6061763266348155,134.12737996326226,0.10623644028582359,0.17822418106781643,382.89699645837146,0.3565461478994482,810271.4076509476,463988.73954681744
2026-02-05 22:00:00+00:00,5962,5962,410154827.0,1.2829655834333765e+18,5.3658e+19,53553,128.29655834333767,603.7859778597787,492.0,605.0,703.0,36297.0,175064.90000000005,390884.59000000084,1.5907716042361125e-07,3.303899350130467e-07,6.080207398633258e-07,391.15412425994873,0.10844276125099425,59.01639344262295,0.1822440848801431,0.3279949012069621,0.1668044925683486,0.34643895649624046,0.6375559553229267,0.982756,0.3223389571305493,0.16392811589849998,0.3404649631304193,0.6265619404293382,126.08421249126515,0.10618796918115618,0.17818078034600138,382.6306396325429,0.35447443932732153,810662.5617752075,464114.8237593087
2026-02-05 23:00:00+00:00,5907,5907,366772051.0,1.1447960826151904e+18,5.3163e+19,52934,114.47960826151905,609.5136278991027,486.0,604.0,711.0,30565.0,162688.80000000013,399228.09999999945,1.5890002790690165e-07,3.2904250628456524e-07,6.184930991489667e-07,349.78108501434326,0.09803754133168506,59.01639344262295,0.1644852082342716,0.327289305128734,0.1666187556625073,0.3450260750698443,0.6485370199332269,0.985314,0.3224827343936134,0.16417179261684772,0.3399590221313686,0.6390126052584876,112.79836073459037,0.10642229419759876,0.17858462168619682,383.23865163326263,0.3526079919665414,811012.3428602219,464227.6221200433
2026-02-06 00:00:00+00:00,5837,5837,271136876.0,1.1187500951457078e+18,5.2533e+19,52125,111.87500951457078,616.7837930443721,482.0,604.0,713.0,30434.0,80221.60000000002,325327.08000000013,2.0289112756464645e-07,4.002160620075929e-07,7.485172052503529e-07,258.5762748718262,0.07334356953070166,59.01639344262295,0.12305421110151056,0.4326576735240933,0.21274676697722672,0.4196569574356737,0.7848771770125941,0.975896,0.42222889296146854,0.20761871890600764,0.40954154613364424,0.7659584975378825,109.17837428523156,0.10752836563011768,0.18045661301157237,386.9121434688568,0.35541809803643787,811270.9191350937,464336.80049432855
2026-02-06 01:00:00+00:00,6036,6036,196231743.0,6.545356997720003e+17,5.4324e+19,54259,65.4535699772,596.3878396288933,488.0,600.0,694.0,18527.0,56837.5,301681.24999999994,1.7716326981537544e-07,3.598385557673929e-07,6.411996599356703e-07,187.14117336273193,0.05167361756205322,59.01639344262295,0.08612269593675535,0.34975504749204855,0.18576915280992712,0.3773180734523498,0.6723465746167054,0.95183,0.3329073468543566,0.1768206527190729,0.3591426618541501,0.6399596401174187,62.30067151139828,0.10786431659710298,0.18100138865295265,388.0772918860118,0.35374605360935796,811458.0603084564,464399.10116583994
2026-02-06 02:00:00+00:00,6029,6029,431179600.0,1.358360383923903e+18,5.4261e+19,54239,135.8360383923903,597.1323602587494,491.0,602.0,696.1999999999998,36171.0,188146.0,378096.24000000005,1.5784642580228123e-07,3.2691966771755165e-07,5.958479387191687e-07,411.2049102783203,0.11329650605636442,59.01639344262295,0.18945693512758716,0.3303366156314887,0.16551397378205285,0.34280011749659944,0.624791848190391,0.975898,0.3223748425215386,0.1615247559859578,0.3345379490646964,0.6097331150653063,132.5621181950569,0.10847057703671546,0.18200376186776923,390.25784480571747,0.3516546584186819,811869.2652187347,464531.663284035
