_day,max_version_app,block_count,blocks_with_blobs,total_blobs_bytes,total_blobs_count,total_bytes_in_block,total_txs,total_fee_utia,total_gas_used,total_gas_limit,avg_fill_rate,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_square_size,p90_square_size,max_square_size_seen,p50_blobs_size,p90_blobs_size,p99_blobs_size,p10_gas_price_utia,p50_gas_price_utia,p90_gas_price_utia,era,max_data_bytes,era_block_time_s,daily_blob_mib,daily_block_mib,actual_mib_per_s,utilization_pct,max_mib_per_s,avg_gas_price_utia,avg_tia_usd,cost_per_mib_tia,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_blob_mib_7d,cost_per_mib_usd_7d,cumulative_daily_blob_mib,cumulative_daily_da_spend_usd
2026-01-05,6,14178,13577,2757488446.0,393864,2825629622.0,41344,169562300.0,27062753245.0,30077170186.0,0.10155552264071097,6092.22908731838,6079.0,6089.0,6101.0,16.0,32.0,256.0,98961.0,154941.0,3078160.96,0.004190782679043735,0.0045011714473950255,0.00930008410290154,Current (v6),8388608.0,6.0,2629.7459087371826,2694.7303981781006,0.030461609193460384,10.155552264071096,1.3333333333333333,0.006265522892846374,0.573219375,0.052559015463114235,0.030127845994381675,0.0010042615331460557,0.020151431462218056,0.021643939776560078,0.04471957191424868,97.19639562956249,0.0182263251117837,6.162179704552778,1573.8186800820488,0.03064595238194216,572313.313542366,13286.476552950096
2026-01-06,6,14182,13419,1460804963.0,384230,1526522195.0,40082,116380142.0,15933026617.0,17880350384.0,0.05484916795938514,6090.359751798054,6077.0,6087.0,6099.0,16.0,32.0,128.0,97883.0,137081.60000000062,1739658.8599999999,0.0041715473236507185,0.004490058787945301,0.010968513645151577,Current (v6),8388608.0,6.0,1393.1321744918823,1455.8050107955933,0.0161380679448968,5.4849167959385134,1.3333333333333333,0.0073043336208216915,0.585625,0.061273191446293805,0.03588311274073581,0.0011961037580245268,0.0204930539441919,0.02205776653479967,0.05388368496823908,68.15512065875,0.018242047999703633,6.168362574020597,1575.0737998144966,0.03183168488023052,573706.4457168579,13354.631673608847
2026-01-07,6,14155,14049,1481578288.0,409767,1549815653.0,51008,109276902.0,16628021054.0,18575527639.0,0.05579087954786295,6101.73168491699,6077.0,6088.0,6099.0,16.0,32.0,128.0,97641.0,137498.40000000023,1739022.8400000012,0.004156390247847006,0.00441378287155521,0.007861806221051383,Current (v6),8388608.0,6.0,1412.9431610107422,1478.019383430481,0.01639608549481898,5.579087954786295,1.3333333333333333,0.006571852516010172,0.577101625,0.055128694590623056,0.03181485923237727,0.0010604953077459091,0.020121414826022175,0.021367472930761914,0.03805962742250172,63.063877719165745,0.018277436313139477,6.183705653436861,1577.7300592150007,0.03255431565010477,575119.3888778687,13417.695551328012
2026-01-08,6,14183,14073,1450591461.0,406680,1519975671.0,50153,106871887.0,16326761611.0,18258474600.0,0.05460858774589297,6089.862158922654,6079.0,6089.0,6100.0,16.0,32.0,128.0,97680.0,126612.2000000001,1665359.5200000012,0.004182881926538507,0.004408795361502695,0.007298502931078777,Current (v6),8388608.0,6.0,1383.3918199539185,1449.5617589950562,0.016018842317579586,5.460858774589298,1.3333333333333333,0.006545810464213313,0.5529327916666666,0.054910238026583506,0.030361671203119975,0.0010120557067706658,0.019401613662563964,0.020449476180162,0.03385291210002257,59.09297082959454,0.018203866962499766,6.156403833637371,1571.3909710475377,0.03216177422680053,576502.7806978226,13476.788522157607
2026-01-09,6,14162,13819,1278659169.0,393555,1341760844.0,45496,98783348.0,14518944422.0,16377482688.0,0.04827681118486089,6099.044344019207,6080.0,6093.0,6107.0,16.0,32.0,128.0,97753.0,127480.00000000015,1192146.7199999995,0.004169278424847203,0.004408795361502695,0.006836646791547726,Current (v6),8388608.0,6.0,1219.4244089126587,1279.602855682373,0.014131853147102769,4.8276811184860895,1.3333333333333333,0.00680375550238469,0.5536291666666667,0.057074037837348233,0.03159785200619291,0.0010532617335397637,0.019362871372253242,0.020475230673636765,0.03175060500957497,54.68934263378334,0.017897461795252957,6.057550369587746,1544.7669846670967,0.032102890270933965,577722.2051067352,13531.47786479139
2026-01-10,6,14179,14119,1287262268.0,414510,1353528203.0,49984,91175465.0,14874894731.0,16736864481.0,0.048641737781225755,6091.741519148036,6077.0,6089.0,6103.0,16.0,32.0,64.0,97551.0,126160.60000000003,1205822.8199999994,0.004161567952695803,0.004408795361502695,0.006347351655876068,Current (v6),8388608.0,6.0,1227.628963470459,1290.825083732605,0.01421921266442889,4.864173778122575,1.3333333333333333,0.006129486403018767,0.5496605,0.05141785867625445,0.02826236590891936,0.0009420788636306454,0.01918851735701633,0.020328454870699886,0.029266917855075854,50.1155516796325,0.017653079804915026,5.981500030384578,1523.6356070382255,0.031799416690981665,578949.8340702057,13581.593416471022
2026-01-11,6,14187,14131,1272102783.0,409546,1337773053.0,50097,92585002.0,14771284055.0,16638338682.0,0.04804857968562769,6088.337633044336,6075.0,6086.0,6100.0,16.0,32.0,128.0,97608.0,123174.0,1193108.9000000001,0.004187591036550533,0.004408795361502695,0.006847207964098953,Current (v6),8388608.0,6.0,1213.1717519760132,1275.799801826477,0.014050758608948218,4.804857968562769,1.3333333333333333,0.006267904784395537,0.5524131250000001,0.052578996217618676,0.029045327609937915,0.0009681775869979305,0.019405201217455866,0.02043025700690662,0.031729805313213545,51.145170282951256,0.017345204195890834,5.882446950650947,1497.0625983646937,0.031013290670809275,580163.0058221817,13632.738586753972
2026-01-12,6,14182,14135,1260132281.0,394032,1328138839.0,49742,111656071.0,14810902135.0,17010415590.0,0.04771838950782682,6091.00183330983,6073.0,6085.0,6098.0,16.0,32.0,128.0,97171.0,121937.20000000004,1234603.2199999997,0.004174847709094635,0.004408795361502695,0.008698171754737145,Current (v6),8388608.0,6.0,1201.7557916641235,1266.6118993759155,0.013925736080839028,4.771838950782683,1.3333333333333333,0.007538775827580607,0.544338125,0.0632398352174493,0.03442385332757532,0.001147461777585844,0.019063353054889723,0.020131613984384712,0.0397179324006008,60.77865633300687,0.014982936608373498,5.1133450487526035,1293.0640102113996,0.03162700600412265,581364.7616138458,13693.517243086979
2026-01-13,6,14195,14130,1243121820.0,394196,1314312836.0,50738,130252169.0,14713955938.0,16745576823.0,0.04717917576611483,6083.788798872843,6072.0,6083.0,6096.0,16.0,32.0,128.0,97159.0,121526.40000000002,1213147.8099999924,0.004174756396583627,0.004457615688779452,0.013719657840636064,Current (v6),8388608.0,6.0,1185.5333518981934,1253.4263954162598,0.01372968467024748,4.717917576611483,1.3333333333333333,0.008852287552636546,0.5665294166666667,0.07425837018234735,0.04206955114202264,0.0014023183714007546,0.01984008389777756,0.021184342473684795,0.06520120858543335,73.79168532313808,0.014638881854852168,5.003773731705885,1263.4070355551582,0.032510782918592204,582550.294965744,13767.308928410117
2026-01-14,6,14192,14108,1241337471.0,388945,1308183500.0,48998,115198795.0,14522114130.0,16427000981.0,0.046968566798196165,6087.724281285231,6071.0,6082.0,6095.0,16.0,32.0,128.0,96965.0,122149.1,1188653.77,0.004159895222389012,0.004408795361502695,0.009815196894298023,Current (v6),8388608.0,6.0,1183.8316640853882,1247.5810050964355,0.013715130163106609,4.696856679819616,1.3333333333333333,0.00793264630540402,0.60299225,0.0665438602586826,0.0401254320210686,0.0013375144007022866,0.02104185495413148,0.022300857968703923,0.04964787292826366,69.46398059433875,0.014255888236036114,4.87774069242493,1230.6768217086792,0.03369800760269096,583734.1266298294,13836.772909004456
