_day,block_count,total_blobs,blocks_with_blobs,at_floor_count,era,target_blobs,max_blobs,p10_blob_base_fee_gwei,p50_blob_base_fee_gwei,p90_blob_base_fee_gwei,vwap_blob_base_fee_gwei,daily_data_mib,actual_mib_per_s,max_mib_per_s,expected_mib_per_s,utilization_pct,target_utilization_pct,pct_time_at_floor,avg_eth_usd,vwap_cost_per_mib_day_usd,p10_cost_per_mib_day_usd,p50_cost_per_mib_day_usd,p90_cost_per_mib_day_usd,daily_blob_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,vwap_cost_per_mib_day_usd_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_blob_spend_usd
2025-11-18,7125,40065,6394,1173,Pectra,6,9,1e-09,3.7013603473375495e-09,0.3821700574882714,1.1678528563574953,5008.125,0.05857456140350877,0.09375,0.0625,62.47953216374269,93.71929824561404,16.46315789473684,3021.3,0.20554616871542386,1.7600348160000003e-10,6.51452307787594e-10,0.06726326068120791,18529.216311562777,0.05905009128161181,62.98676403371927,5061.642857142857,0.029538140220962013,0.055740912454761066,59.45697328507847,1734070.25,20196.94163303852
2025-11-19,7117,42038,6543,526,Pectra,6,9,1.0537423984929872e-09,3.0042741222820963e-08,0.011160430926649059,0.2359139918347644,5254.75,0.06152814856447005,0.09375,0.0625,65.63002513543472,98.44503770315208,7.390754531403681,3117.22,0.042839911148328746,1.9135037465808423e-10,5.455498228944919e-09,0.0020266363413051747,4052.0344159202486,0.05949600541385823,63.462405774782106,5096.321428571428,0.03565812746955783,0.05613446543130677,59.876763126727234,1739325.0,24248.97604895877
2025-11-20,7129,41130,6540,772,Pectra,6,9,1e-09,1.0824745385151642e-08,0.002787519497480293,0.0017299047455312665,5141.25,0.06009783980922991,0.09375,0.0625,64.10436246317856,96.15654369476786,10.829008276055548,3017.75,0.0003041115094429484,1.7579667911111114e-10,1.9029542909329843e-09,0.0004900366706145088,28.143239362624048,0.059160136300693604,63.104145387406504,5066.625,0.03553111945620043,0.05637475248451282,60.133069316813675,1744466.25,24277.119288321395
2025-11-21,7122,41986,6307,366,Pectra,6,9,1.0816871788559317e-09,7.126200869831744e-08,0.00010010519402734994,5.98221103543535e-05,5248.25,0.06140889731348872,0.09375,0.0625,65.50282380105463,98.25423570158195,5.139005897219882,2832.07,9.869453867745507e-06,1.7845678876612034e-10,1.1756808698403597e-08,1.651535842721643e-05,0.9323525027051167,0.05927875941766488,63.23067671217587,5073.232142857143,0.035530326302773314,0.05664415615160589,60.42043322837961,1749714.5,24278.051640824102
2025-11-22,7101,37284,6514,2631,Pectra,6,9,1e-09,1.0537423984929872e-09,1.333642727255208e-09,1.1272139780058779e-09,4660.5,0.05469300098577665,0.09375,0.0625,58.3392010514951,87.50880157724265,37.05111956062526,2764.74,1.8154657901893505e-10,1.6105777834666667e-10,1.6971340965096842e-10,2.1479353475991333e-10,1.522976096731944e-05,0.05911150264330967,63.05226948619698,5054.0,0.03553032619295942,0.05671419552456267,60.495141892866855,1754375.0,24278.051656053864
2025-11-23,7120,36554,6609,3158,Pectra,6,9,1e-09,1.0265195558258924e-09,1.2656250039502266e-09,1.0952077608229832e-09,4569.25,0.05347904962546817,0.09375,0.0625,57.044319600499385,85.56647940074907,44.353932584269664,2768.62,1.7663927463413768e-10,1.6128380472888892e-10,1.65560979592209e-10,2.0412481599710756e-10,1.4527962101196607e-05,0.05824867848881761,62.13192372140544,4976.607142857143,0.03553026641023842,0.05663857384198707,60.414478764786196,1758944.25,24278.051670581826
2025-11-24,7105,40729,6665,1033,Pectra,6,9,1e-09,1.5201121762917003e-09,1.4446851165486446e-07,3.413513141938865e-08,5091.125,0.059712936898897485,0.09375,0.0625,63.69379935882399,95.54069903823597,14.53905700211119,2799.81,5.5674656696605685e-09,1.6310075392000002e-10,2.4793144199614827e-10,2.3562923168608704e-08,0.000510203945834112,0.05849920494297711,62.39915193917558,4996.178571428572,0.035528580964673546,0.05685386604714331,60.644123783619534,1764035.375,24278.052180785773
2025-11-25,7098,39682,6601,1589,Pectra,6,9,1e-09,1.139819642266762e-09,6.413175763719572e-09,2.9371157863973546e-09,4960.25,0.058235301023762565,0.09375,0.0625,62.117654425346736,93.1764816380201,22.386587771203157,2953.33,5.053129783416309e-10,1.7204394211555558e-10,1.9609906455631606e-10,1.103348039870254e-09,4.5116616614743335e-05,0.058450739174441935,62.347455119404735,4989.339285714285,0.006164842648943421,0.05700283107669147,60.80301981513757,1768995.625,24278.05222590239
2025-11-26,7122,39467,6612,1862,Pectra,6,9,1e-09,1.1103730423817535e-09,4.319577845338001e-09,2.2859668482645754e-09,4933.375,0.05772459749134138,0.09375,0.0625,61.57290399076414,92.35935598614621,26.14434147711317,2955.05,3.9351579574063657e-10,1.721441393777778e-10,1.9114421176909173e-10,7.43590010661026e-10,3.494449779861533e-05,0.05790737473542355,61.76786638445179,4943.428571428572,4.48553982558559e-05,0.05709580046396899,60.90218716156692,1773929.0,24278.052260846885
2025-11-27,7131,39844,6607,1600,Pectra,6,9,1e-09,1.2010762836915968e-09,7.121017484090225e-09,2.6815516134099686e-09,4980.5,0.05820244939933623,0.09375,0.0625,62.08261269262532,93.12391903893797,22.4372458280746,3027.48,4.729278083784251e-10,1.7636349269333335e-10,2.1182600838297886e-10,1.2558875150244453e-09,4.239750509331744e-05,0.05763660467686731,61.47904498865847,4920.464285714285,1.4109644679787545e-06,0.05708441333333457,60.890040888890205,1778909.5,24278.05230324439
